Date,SPY,SPYOP
38352,120.87,121.3
38355,120.3,121.56
38356,118.83,120.46
38357,118.01,118.74
38358,118.61,118.44
38359,118.44,118.97
38362,119,118.34
38363,118.18,118.64
38364,118.57,118.4
38365,117.62,118.64
38366,118.24,117.97
38370,119.47,118.05
38371,118.22,119.43
38372,117.5,117.89
38373,116.78,117.79
38376,116.55,117.09
38377,116.88,116.91
38378,117.23,117.32
38379,117.43,117.19
38380,117.43,117.49
38383,118.16,117.97
38384,118.91,118.25
38385,119.27,119.06
38386,119.11,119.06
38387,120.23,119
38390,120.07,120.22
38391,120.21,120.17
38392,119.31,120.42
38393,119.74,119.66
38394,120.77,119.71
38397,120.68,120.69
38398,121.13,120.8
38399,121.21,120.93
38400,120.23,121.23
38401,120.39,120.17
38405,118.6,119.9
38406,119.45,118.97
38407,120.24,119.24
38408,121.43,120.27
38411,120.63,121.15
38412,121.23,120.78
38413,121.17,120.76
38414,121.22,121.66
38415,122.73,122.05
38418,122.79,122.66
38419,122.33,122.67
38420,120.97,121.97
38421,121.24,121.2
38422,120.39,121.31
38425,121.14,120.61
38426,120.14,121.42
38427,119.12,119.7
38428,119.36,119.31
38429,118.54,119.11
38432,118.1,118.71
38433,116.9,118.37
38434,117,116.945
38435,117.14,117.46
38439,117.31,117.42
38440,116.53,117.14
38441,118.18,116.78
38442,117.96,118.19
38443,117.43,118.63
38446,117.63,117.36
38447,118.19,117.78
38448,118.6,118.45
38449,119.24,118.41
38450,118,119.17
38453,118.09,118.29
38454,118.7,117.89
38455,117.3,118.56
38456,115.77,117.44
38457,114.15,115.74
38460,114.5,114.12
38461,115.41,115.1
38462,113.8,115.4
38463,116.01,114.79
38464,115.57,115.74
38467,116.33,115.86
38468,115.2,115.96
38469,115.65,114.86
38470,114.2,115.27
38471,115.75,115.07
38474,116.4,116.07
38475,116.6,116.07
38476,117.5,116.65
38477,117.46,117.67
38478,117.09,117.93
38481,117.82,117.21
38482,116.6,117.36
38483,117.24,116.93
38484,115.95,117.32
38485,115.72,116.3
38488,116.8,115.7
38489,117.58,116.43
38490,118.79,118.07
38491,119.29,119.02
38492,119.12,119.34
38495,119.78,119.21
38496,119.5,119.44
38497,119.41,119.35
38498,120.05,119.79
38499,120.25,120.06
38503,119.5,120.1
38504,120.5,119.52
38505,120.76,120.23
38506,120.15,120.55
38509,120.04,120.02
38510,120.13,120.39
38511,119.91,120.43
38512,120.48,119.74
38513,120.2,120.56
38516,120.58,119.94
38517,120.86,120.45
38518,121.09,121.16
38519,121.4,121.09
38520,121.36,121.54
38523,121.4,121.08
38524,121.47,121.5
38525,121.57,121.68
38526,119.86,121.32
38527,118.98,119.88
38530,119.15,118.97
38531,120.15,119.4
38532,119.83,120.37
38533,119.18,120.22
38534,119.53,119.45
38538,120.49,119.25
38539,119.48,120.39
38540,119.95,118.29
38541,121.32,119.97
38544,121.94,121.33
38545,122.26,121.89
38546,122.43,122.27
38547,122.91,122.98
38548,122.84,122.79
38551,122.35,122.5
38552,123.02,122.71
38553,123.44,122.59
38554,122.72,123.55
38555,123.54,122.88
38558,123.19,123.41
38559,123.34,123.23
38560,123.79,123.5
38561,124.57,123.99
38562,123.74,124.41
38565,123.65,123.83
38566,124.39,123.87
38567,124.72,124.25
38568,123.72,124.23
38569,122.88,123.45
38572,122.65,123.17
38573,123.39,123.06
38574,123.33,123.82
38575,123.82,123.27
38576,123.06,123.57
38579,123.82,123.22
38580,122.21,123.44
38581,122.2,122.19
38582,122.19,122.05
38583,122.47,122.63
38586,122.47,122.58
38587,122.24,122.5
38588,121.15,121.94
38589,121.59,121.35
38590,120.76,121.48
38593,121.69,120.41
38594,121.05,121.25
38595,122.58,121.19
38596,122.49,122.51
38597,122.27,122.85
