Date,SPY,SPYOP
31/12/2004,120.87,121.3
03/01/2005,120.3,121.56
04/01/2005,118.83,120.46
05/01/2005,118.01,118.74
06/01/2005,118.61,118.44
07/01/2005,118.44,118.97
10/01/2005,119,118.34
11/01/2005,118.18,118.64
12/01/2005,118.57,118.4
13/01/2005,117.62,118.64
14/01/2005,118.24,117.97
18/01/2005,119.47,118.05
19/01/2005,118.22,119.43
20/01/2005,117.5,117.89
21/01/2005,116.78,117.79
24/01/2005,116.55,117.09
25/01/2005,116.88,116.91
26/01/2005,117.23,117.32
27/01/2005,117.43,117.19
28/01/2005,117.43,117.49
31/01/2005,118.16,117.97
01/02/2005,118.91,118.25
02/02/2005,119.27,119.06
03/02/2005,119.11,119.06
04/02/2005,120.23,119
07/02/2005,120.07,120.22
08/02/2005,120.21,120.17
09/02/2005,119.31,120.42
10/02/2005,119.74,119.66
11/02/2005,120.77,119.71
14/02/2005,120.68,120.69
15/02/2005,121.13,120.8
16/02/2005,121.21,120.93
17/02/2005,120.23,121.23
18/02/2005,120.39,120.17
22/02/2005,118.6,119.9
23/02/2005,119.45,118.97
24/02/2005,120.24,119.24
25/02/2005,121.43,120.27
28/02/2005,120.63,121.15
01/03/2005,121.23,120.78
02/03/2005,121.17,120.76
03/03/2005,121.22,121.66
04/03/2005,122.73,122.05
07/03/2005,122.79,122.66
08/03/2005,122.33,122.67
09/03/2005,120.97,121.97
10/03/2005,121.24,121.2
11/03/2005,120.39,121.31
14/03/2005,121.14,120.61
15/03/2005,120.14,121.42
16/03/2005,119.12,119.7
17/03/2005,119.36,119.31
18/03/2005,118.54,119.11
21/03/2005,118.1,118.71
22/03/2005,116.9,118.37
23/03/2005,117,116.945
24/03/2005,117.14,117.46
28/03/2005,117.31,117.42
29/03/2005,116.53,117.14
30/03/2005,118.18,116.78
31/03/2005,117.96,118.19
01/04/2005,117.43,118.63
04/04/2005,117.63,117.36
05/04/2005,118.19,117.78
06/04/2005,118.6,118.45
07/04/2005,119.24,118.41
08/04/2005,118,119.17
11/04/2005,118.09,118.29
12/04/2005,118.7,117.89
13/04/2005,117.3,118.56
14/04/2005,115.77,117.44
15/04/2005,114.15,115.74
18/04/2005,114.5,114.12
19/04/2005,115.41,115.1
20/04/2005,113.8,115.4
21/04/2005,116.01,114.79
22/04/2005,115.57,115.74
25/04/2005,116.33,115.86
26/04/2005,115.2,115.96
27/04/2005,115.65,114.86
28/04/2005,114.2,115.27
29/04/2005,115.75,115.07
02/05/2005,116.4,116.07
03/05/2005,116.6,116.07
04/05/2005,117.5,116.65
05/05/2005,117.46,117.67
06/05/2005,117.09,117.93
09/05/2005,117.82,117.21
10/05/2005,116.6,117.36
11/05/2005,117.24,116.93
12/05/2005,115.95,117.32
13/05/2005,115.72,116.3
16/05/2005,116.8,115.7
17/05/2005,117.58,116.43
18/05/2005,118.79,118.07
19/05/2005,119.29,119.02
20/05/2005,119.12,119.34
23/05/2005,119.78,119.21
24/05/2005,119.5,119.44
25/05/2005,119.41,119.35
26/05/2005,120.05,119.79
27/05/2005,120.25,120.06
31/05/2005,119.5,120.1
01/06/2005,120.5,119.52
02/06/2005,120.76,120.23
03/06/2005,120.15,120.55
06/06/2005,120.04,120.02
07/06/2005,120.13,120.39
08/06/2005,119.91,120.43
09/06/2005,120.48,119.74
10/06/2005,120.2,120.56
13/06/2005,120.58,119.94
14/06/2005,120.86,120.45
15/06/2005,121.09,121.16
16/06/2005,121.4,121.09
17/06/2005,121.36,121.54
20/06/2005,121.4,121.08
21/06/2005,121.47,121.5
22/06/2005,121.57,121.68
23/06/2005,119.86,121.32
24/06/2005,118.98,119.88
27/06/2005,119.15,118.97
28/06/2005,120.15,119.4
29/06/2005,119.83,120.37
30/06/2005,119.18,120.22
01/07/2005,119.53,119.45
05/07/2005,120.49,119.25
06/07/2005,119.48,120.39
07/07/2005,119.95,118.29
08/07/2005,121.32,119.97
11/07/2005,121.94,121.33
12/07/2005,122.26,121.89
13/07/2005,122.43,122.27
14/07/2005,122.91,122.98
15/07/2005,122.84,122.79
18/07/2005,122.35,122.5
19/07/2005,123.02,122.71
20/07/2005,123.44,122.59
21/07/2005,122.72,123.55
22/07/2005,123.54,122.88
